geneLabel,conditions
CEACAM5,liver disease
CEACAM6,liver disease
CEL,liver disease; liver cancer
CEP120,liver disease
CEP164,liver disease
CEP19,liver disease
CEP290,liver disease
CEP83,liver disease
CFAP418,liver disease
CFH,liver disease
CFI,liver disease
CFTR,liver disease
CHCHD2,Parkinson's disease
CHD7,liver disease
CHEK2,liver disease; liver cancer
CHRNB1,Parkinson's disease
CIDEC,liver disease
CIITA,liver disease
CKB,cerebrovascular disease
CKM,cerebrovascular disease
CKMT1B,cerebrovascular disease
CKMT2,cerebrovascular disease
CLCA4,liver disease
CLCN3,Parkinson's disease
CLCN7,liver disease
CLDN1,liver disease
CLDN5,cerebrovascular disease
CLEC7A,liver disease
CLIP2,liver disease
CLPB,liver disease
CNOT1,liver disease
CNTN1,Parkinson's disease
CNTNAP2,liver disease
COA8,liver disease
COG1,liver disease
COG2,liver disease
COG4,liver disease
COG5,liver disease
COG6,liver disease
COG7,liver disease
COG8,liver disease
COMT,Parkinson's disease; liver disease
COQ2,Parkinson's disease; liver disease
CORIN,liver disease
COX1,liver disease
COX14,liver disease
COX15,liver disease
COX16,liver disease
COX3,liver disease
COX4I2,liver disease
COX5A,liver disease
CP,liver disease
CPA1,liver disease
CPLX1,liver disease
CPOX,liver disease; liver cancer
CPT1A,liver disease
CPT2,liver disease
CR2,liver disease
CREB1,cerebrovascular disease
CREBBP,liver cancer; liver disease
CRLS1,Parkinson's disease
CRP,cerebrovascular disease; liver disease
CSF3R,liver disease
CSPP1,liver disease
CTBP1,liver disease
CTC1,liver disease
CTCF,liver disease
CTLA4,liver disease; liver cancer
CTNNB1,liver disease; liver cancer
CTNS,liver disease
CTRC,liver disease
CTSA,liver disease
CTSB,Parkinson's disease
CTSC,liver disease
CTSK,liver disease
CXCL10,liver disease
CXCL8,liver disease; cerebrovascular disease
CYBA,liver disease
CYBB,liver disease
CYBC1,liver disease
CYC1,liver disease
CYCS,cerebrovascular disease; liver disease; Parkinson's disease
CYP19A1,liver disease
CYP27A1,liver disease
CYP27B1,liver disease
CYP2E1,liver disease
CYP2R1,liver disease
CYP3A4,liver disease
CYP7A1,liver disease
CYP7B1,liver disease
CYRIB,Parkinson's disease
CYTB,liver disease
DAXX,liver disease
DCDC2,liver disease
DCLRE1C,liver disease
DCST1,Parkinson's disease
DCTN1,Parkinson's disease
DCTN4,liver disease
DDC,Parkinson's disease
DDOST,liver disease
DDRGK1,liver disease
DEF6,liver disease
DGKQ,Parkinson's disease
DGUOK,liver disease
DHCR7,liver disease
DHDDS,liver disease
DHFR,liver disease
DIS3L2,liver cancer; liver disease
DKC1,liver disease
DLD,liver disease
DLG2,Parkinson's disease
DLK1,liver cancer; liver disease
DLL4,liver disease
DMD,liver disease
DMPK,liver disease
DNAH17,Parkinson's disease
DNAJB11,liver disease
DNAJC13,Parkinson's disease
DNAJC19,liver disease
DNAJC21,liver disease
DNAJC30,liver disease
DNAJC6,Parkinson's disease
DNASE1L1,Parkinson's disease
DNASE1L3,liver disease
DNASE2,liver disease
DOCK2,liver disease
DOCK6,liver disease
DOCK8,liver disease
DOLK,liver disease
DPAGT1,liver disease
DPF2,liver disease; liver cancer
DPM1,liver disease
DPM2,liver disease
DPM3,liver disease
DPP4,cerebrovascular disease
DPYS,liver disease
DRD2,Parkinson's disease
DUOX2,liver disease
DUOXA2,liver disease
DYNC2H1,liver disease
DYNC2I1,liver disease
DYNC2I2,liver disease
DYNC2LI1,liver disease
DYRK1A,Parkinson's disease
DZIP1L,liver disease; liver cancer
EARS2,liver disease
EDN1,cerebrovascular disease
EDNRA,liver disease
EFL1,liver disease
EFNA4-EFNA3,Parkinson's disease
EGF,liver cancer; liver disease
EGFR,liver disease; liver cancer
EIF2AK3,liver disease
EIF4G1,Parkinson's disease
EIF4H,liver disease
ELN,liver disease
ELOVL7,Parkinson's disease
ENG,liver disease
ENPP1,liver disease
EOGT,liver disease
EP300,liver disease; liver cancer
EPB41,liver disease
EPB42,liver disease
EPCAM,liver disease; liver cancer
EPM2A,liver disease
EPO,cerebrovascular disease
ERBB2,liver cancer; liver disease
ERBB3,liver disease
ERCC1,liver disease
ERCC4,liver disease
ERCC6,liver disease
ERCC8,liver disease
ESAM,liver disease
ESCO2,liver disease
ESR1,liver disease; liver cancer
ETFA,liver disease
ETFB,liver disease
ETFDH,liver disease
EWSR1,liver disease
EXTL3,liver disease
EZH2,liver cancer
F13A1,liver disease
F13B,liver disease
F2,liver cancer; liver disease; cerebrovascular disease
F3,liver disease; cerebrovascular disease
F5,liver cancer; liver disease
FADD,liver disease
FAH,liver cancer; liver disease
FAM111B,liver disease
FAM171A2,Parkinson's disease
FAM47E,Parkinson's disease
FAM47E-STBD1,Parkinson's disease
FAN1,liver cancer; liver disease
FANCA,liver disease
FANCB,liver disease
FANCC,liver disease
FANCD2,liver disease
FANCE,liver disease
FANCF,liver disease
FANCG,liver disease
FANCI,liver disease
FANCL,liver disease
FANCM,liver disease
FARS2,liver disease
FARSA,liver disease
FARSB,liver disease
FAS,liver disease; liver cancer
FASLG,liver cancer; liver disease
FASN,Parkinson's disease; liver disease
FBN1,liver disease
FBP1,liver disease
FBXL4,liver disease
FBXO7,Parkinson's disease
FCGR2A,liver disease
FCGR3B,liver disease
FDX2,liver disease
FECH,liver disease
FERMT3,liver disease
FGA,liver disease
FGF2,cerebrovascular disease
FGF21,liver disease
FGFR2,liver disease
FGFRL1,liver disease
FH,liver disease
FHL1,liver disease
FKBP6,liver disease
FLI1,liver disease
FLNC,liver disease
FLT1,liver disease
FN1,liver disease
FOCAD,liver disease
FOS,liver disease
FOXF1,liver disease
FOXP3,liver disease
FOXRED1,liver disease
FTH1,liver disease
FTL,liver disease
FUCA1,liver disease
FYN,Parkinson's disease
G6PC1,liver cancer; liver disease
G6PC3,liver disease
G6PD,liver disease
GAA,liver disease
GABRD,liver disease
GAK,Parkinson's disease
GALE,liver disease
GALK1,liver disease
GALM,liver disease
GALNS,liver disease
GALT,liver disease
GANAB,liver disease
GAPDH,liver cancer; liver disease; cerebrovascular disease
GATA2,liver disease
GATA6,liver disease
GATC,liver disease
GBA1,Parkinson's disease; liver disease
GBE1,liver disease
GBF1,Parkinson's disease
GCDH,liver disease
GCG,liver disease; cerebrovascular disease
GCGR,liver disease
GCH1,Parkinson's disease
GCK,liver cancer; liver disease
GCKR,liver disease
GCLC,liver disease
GCSH,liver disease
GDF2,liver disease
GDNF,Parkinson's disease; cerebrovascular disease
GFAP,Parkinson's disease; cerebrovascular disease
GFM1,liver disease
GGCX,liver disease
GH1,liver disease
GIGYF2,Parkinson's disease
GIMAP5,liver cancer; liver disease
GLB1,liver disease
GLIS3,liver disease
GLP1R,cerebrovascular disease
GLRX5,liver disease
GNAS,liver cancer; liver disease
GNB2,liver disease
GNE,liver disease
GNMT,liver disease
GNPTAB,liver disease
GNS,liver disease
GP1BB,liver disease
GPC3,liver cancer; liver disease
GPC4,liver cancer; liver disease
GPD1,liver disease
GPI,liver disease
GPIHBP1,liver disease
GPM6B,Parkinson's disease
GPNMB,Parkinson's disease
GPR35,liver cancer; liver disease
GPR65,Parkinson's disease
GPT,liver disease; cerebrovascular disease; liver cancer
GPT2,liver disease
GSK3B,liver cancer; liver disease
GSTM3,liver disease
GSTZ1,liver disease
GTF2I,liver disease
GTF2IRD1,liver disease
GTF2IRD2,liver disease
GUCY2D,liver disease
GUSB,liver disease
GXYLT1,Parkinson's disease
GYPC,liver disease
GYS2,liver disease
H4C3,liver disease
HACD1,liver disease
HADH,liver disease
HADHA,liver disease
HADHB,liver disease
HAMP,liver disease
HASPIN,Parkinson's disease
HAVCR2,liver disease
HBA1,liver disease
HBA2,liver disease
HBB,liver disease; liver cancer
HBG1,liver disease
HBG2,liver disease
HCK,liver disease
HEATR6,Parkinson's disease
HEPACAM,liver disease
HESX1,liver disease
HEXB,liver disease
HFE,liver disease; liver cancer
HGD,liver disease
HGF,liver disease
HGSNAT,liver disease
HIF1A,liver disease; cerebrovascular disease; liver cancer
HIP1R,Parkinson's disease
HIRA,liver disease
HJV,liver disease
HK1,liver disease
HLA-B,liver disease
HLA-DQA1,liver disease
HLA-DQB1,liver disease
HLA-DRA,Parkinson's disease
HLA-DRB1,liver disease
HMBS,liver disease; liver cancer
HMGCL,liver disease
HMGCR,liver disease; cerebrovascular disease
HMGCS2,liver disease
HMOX1,cerebrovascular disease; liver disease
HNF1A,liver cancer; liver disease
HNF1B,liver disease
HNF4A,liver cancer; liver disease
HNRNPA1,liver disease
HNRNPA2B1,liver disease
HOXD13,liver disease
HPD,liver disease
HPGD,liver disease
HSD17B10,liver disease
HSD17B4,liver disease
HSD3B7,liver disease
HSPG2,liver disease
HTRA2,Parkinson's disease; liver disease
HTT,Parkinson's disease
HYOU1,liver disease
IARS1,liver disease
ICAM1,cerebrovascular disease
ICOS,liver disease
IDS,liver disease
IDUA,liver disease
IER3IP1,liver disease
IFIH1,liver disease
IFNA1,liver disease; liver cancer
IFNA10,liver disease
IFNA13,liver disease
IFNA14,liver disease
IFNA16,liver disease
IFNA17,liver disease
IFNA2,liver disease
IFNA21,liver disease
IFNA4,liver disease
IFNA5,liver disease
IFNA6,liver disease
IFNA7,liver disease
IFNA8,liver disease
IFNG,cerebrovascular disease; liver disease; liver cancer
IFNGR1,liver disease
IFNL3,liver disease
IFT122,liver disease
IFT140,liver disease
IFT172,liver disease
IFT27,liver disease
IFT43,liver disease
IFT56,liver disease
IFT74,liver disease
IFT80,liver disease
IGF1,cerebrovascular disease; liver disease
IGF2,liver cancer; liver disease
IGF2R,liver cancer; liver disease
IGLL1,liver disease
IGSF9B,Parkinson's disease
IKBKG,liver disease
IKZF1,liver disease
IL10,liver disease; cerebrovascular disease; liver cancer
IL12A,liver disease; liver cancer
IL12RB1,liver cancer; liver disease
IL17A,liver disease
IL17F,liver disease
IL17RA,liver disease
IL17RC,liver disease
IL18,liver disease; cerebrovascular disease
IL18BP,liver disease
IL1A,cerebrovascular disease; liver disease
IL1B,cerebrovascular disease; liver disease; liver cancer; Parkinson's disease
IL1RN,liver disease
IL2,liver disease
IL21R,liver disease
IL2RA,liver disease
IL2RB,liver disease
IL2RG,liver disease
IL36RN,liver disease
IL4,liver disease
IL6,cerebrovascular disease; liver disease; Parkinson's disease; liver cancer
IL6ST,liver disease
IL7R,liver disease
INPP5E,liver cancer; liver disease
INPP5F,Parkinson's disease
INPPL1,liver disease
INS,cerebrovascular disease; liver cancer; liver disease
INSR,liver disease
INTU,liver disease
INVS,liver disease
IP6K2,Parkinson's disease
IQCB1,liver disease
IRAK4,liver disease
IRF2BP2,liver disease
IRF4,liver disease
IRF5,liver cancer; liver disease
IRF8,liver disease
ITCH,liver disease
ITGA2B,Parkinson's disease
ITGA8,Parkinson's disease
ITGAE,Parkinson's disease
ITIH1,Parkinson's disease
ITK,liver disease
ITPKB,Parkinson's disease
IYD,liver disease
JAG1,liver cancer; liver disease
JAK1,liver disease
JAK2,liver disease; liver cancer
JAK3,liver disease
JAM2,liver disease
JAM3,liver disease
JMJD1C,liver disease
JUN,liver disease; liver cancer; cerebrovascular disease
KANSL1,Parkinson's disease
KCNAB2,liver disease
KCNH1,liver disease
KCNIP3,Parkinson's disease
KCNJ11,liver disease; liver cancer
KCNMA1,liver disease
KCNN3,liver disease
KCNN4,liver disease
KCNQ1,liver cancer; liver disease
KCNS3,Parkinson's disease
KDM5C,liver disease
KDR,liver cancer; liver disease
KIAA0586,liver disease
KIAA0753,liver disease
KIF12,liver disease
KIF20A,liver disease
KIF23,liver disease
KIF3B,liver disease
KIT,liver disease
KLF1,liver disease
KLF11,liver cancer; liver disease
KLHL7,Parkinson's disease
KMT2B,liver disease
KMT2D,liver disease
KMT2E,liver disease
KPNA1,Parkinson's disease
KPNA3,Parkinson's disease
KPTN,liver disease
KRAS,liver cancer; liver disease
KRIT1,cerebrovascular disease; liver disease
KRT18,liver disease
KRT19,liver disease
KYNU,liver disease
LACC1,liver disease
LAMA5,liver disease
LAMP3,Parkinson's disease
LARGE1,liver disease
LARS1,liver disease
LARS2,liver disease
LBR,liver disease
LCAT,liver disease
LCORL,Parkinson's disease
LDHA,liver disease
LDLR,liver disease
LDLRAP1,liver disease
LEP,cerebrovascular disease; liver disease
LETM1,liver disease
LHX1,liver disease
LHX3,liver disease
LHX4,liver disease
LIG3,liver disease
LIG4,liver disease
LIMK1,liver disease
LINC02210-CRHR1,Parkinson's disease
LIPA,liver disease
LIPE,liver disease
LIPT1,liver disease
LMBRD1,liver disease
LMNA,Parkinson's disease; liver disease
LMNB2,liver disease
LONP1,liver disease
LPIN1,liver disease
LPIN2,liver disease
LPL,liver disease
LRP5,liver disease
LRPPRC,liver disease
LRRC8A,liver disease
LRRK2,Parkinson's disease
LRTOMT,Parkinson's disease
LSM11,liver disease
LTBP3,liver disease
LUZP1,liver disease
LYN,liver disease
LYRM4,liver disease
LYST,liver disease
LYZ,liver disease
LZTFL1,liver disease
LZTR1,liver disease
MAD2L2,liver disease
MADD,liver disease
MAGT1,liver disease
MAN2B1,liver disease
MAOA,Parkinson's disease
MAOB,Parkinson's disease
MAP1B,Parkinson's disease
MAP4K4,Parkinson's disease
MAPK3,liver disease; liver cancer
MAPK8IP3,liver disease
MAPT,Parkinson's disease
MARS1,liver disease
MBOAT7,liver disease
MCCC1,Parkinson's disease; liver disease
MCM4,liver disease
MCTS1,liver disease
MECOM,liver disease
MECP2,liver disease
MED12,liver disease
MED12L,Parkinson's disease
MED13,Parkinson's disease
MED25,liver disease
MEFV,liver disease
MET,liver cancer; liver disease
METTL27,liver disease
MFN2,liver disease
MICOS13,liver disease
MICU1,liver disease
MIF,liver disease
MIPOL1,Parkinson's disease
MKKS,liver disease
MKS1,liver disease
MLH1,liver disease; liver cancer
MLH3,liver cancer; liver disease
MLIP,liver disease
MLXIPL,liver disease
MMAA,liver disease
MMAB,liver disease
MMACHC,liver disease
MMEL1,liver cancer; liver disease
MMP2,liver cancer; liver disease
MMP23B,liver disease
MMP9,liver disease; liver cancer; cerebrovascular disease
MMRN1,Parkinson's disease
MMUT,liver disease
MOGS,liver disease
MPC1,liver disease
MPI,liver disease
MPL,liver disease
MPV17,liver cancer; liver disease
MRAS,liver disease
MRM2,liver disease
MRPL3,liver disease
MRPL39,liver disease
MRPL44,liver disease
MRPS16,liver disease
MRPS2,liver disease
MRPS23,liver disease
MRPS28,liver disease
MRPS7,liver disease
MS4A1,liver disease
MSH2,liver disease; liver cancer
MSH6,liver disease; liver cancer
MST1,liver disease; liver cancer
MTF2,Parkinson's disease
MTM1,liver disease
MTOR,liver disease; liver cancer; cerebrovascular disease
MTR,liver disease
MTRR,liver disease
MTTP,liver disease
MTX2,liver disease
MUC12,Parkinson's disease
MUC19,Parkinson's disease
MUC5B,liver disease
MUTYH,liver disease; liver cancer
MVK,liver disease
MYBPC3,liver disease
MYC,liver disease; liver cancer
MYD88,liver disease
MYH14,cerebrovascular disease
MYH9,liver disease
MYL2,liver disease
MYLK2,Parkinson's disease
MYO5B,liver disease
MYORG,liver disease
MYPN,liver disease
MYRF,liver disease
NAA10,liver disease
NAB2,liver disease; liver cancer
NAE1,liver disease
NAF1,liver disease
NAGA,liver disease
NAGLU,liver disease
NAGS,liver disease
NBAS,liver disease
NCF1,liver disease
NCF2,liver disease
NCF4,liver disease
NCKAP1L,liver disease
ND1,liver disease
ND2,liver disease
ND3,liver disease
ND4,liver disease
ND5,liver disease
ND6,liver disease
NDUFA1,liver disease
NDUFA11,liver disease
NDUFA2,liver disease
NDUFA6,liver disease
NDUFAF1,liver disease
NDUFAF2,liver disease; Parkinson's disease
NDUFAF3,liver disease
NDUFAF4,liver disease
NDUFAF5,liver disease
NDUFAF8,liver disease
NDUFB10,liver disease
NDUFB11,liver disease
NDUFB3,liver disease
NDUFB8,liver disease
NDUFB9,liver disease
NDUFS1,liver disease
NDUFS2,liver disease
NDUFS3,liver disease
NDUFS4,liver disease
NDUFS6,liver disease
NDUFS7,liver disease
NDUFS8,liver disease
NDUFV1,liver disease
NDUFV2,liver disease
NEK1,liver disease
NEK8,liver disease
NELFA,liver disease
NEU1,liver disease
NEUROD1,liver cancer; liver disease
NEUROG3,liver disease
NFE2L2,liver disease
NFKB1,liver disease; liver cancer
NFKB2,liver disease
NFKBIA,liver disease
NFS1,liver disease
NGF,Parkinson's disease; cerebrovascular disease
NGLY1,liver disease
NHLRC1,liver disease
NHLRC2,liver disease
NHP2,liver disease
NKX2-5,liver disease
NLRP1,liver disease
NLRP3,liver disease
NOD2,Parkinson's disease; liver disease
NOP10,liver disease
NOS3,cerebrovascular disease; liver disease
NOTCH1,liver disease
NOTCH2,liver disease
NPC1,liver disease
NPC2,liver disease
NPHP1,liver disease
NPHP3,liver disease
NPHP4,liver disease
NPM1,liver disease
NPPB,cerebrovascular disease
NR1H4,liver disease
NR4A2,Parkinson's disease
NRAS,liver disease
NSD1,liver disease
NSD2,liver disease
NSF,Parkinson's disease
NSMCE2,liver disease
NUBPL,liver disease
NUCKS1,Parkinson's disease
OBSCN,liver disease
OCLN,cerebrovascular disease; liver disease
OCRL,liver disease
OFD1,liver disease
OSTM1,liver disease
OTC,liver disease
OTUD5,liver disease
P2RY12,cerebrovascular disease
P4HA2,liver disease
PALB2,liver cancer; liver disease
PALLD,liver disease; liver cancer
PARK7,Parkinson's disease
PARN,liver disease
PARP9,Parkinson's disease
PARS2,liver disease
PAX4,liver cancer; liver disease
PAX8,liver disease
PBXIP1,Parkinson's disease
PC,liver disease
PCCA,liver disease
PCCB,liver disease
PCGF3,Parkinson's disease
PCK1,liver disease
PCK2,liver disease
PCNA,liver cancer; liver disease
PCSK1,liver disease
PCSK9,cerebrovascular disease; liver disease
PCYT1A,liver disease
PDCD1,liver cancer; liver disease
PDCD10,cerebrovascular disease
PDE11A,liver disease; liver cancer
