geneLabel,conditions
RBFOX3,cerebrovascular disease; Parkinson's disease
RBM10,liver disease
RBM8A,liver disease
RBMS3,Parkinson's disease
RBPJ,liver disease
RECQL4,liver disease
REL,liver disease
RELA,liver cancer; liver disease
REN,cerebrovascular disease
RERE,liver disease
REST,liver cancer; liver disease
RETREG3,Parkinson's disease
RFC2,liver disease
RFT1,liver disease
RFWD3,liver disease
RFX5,liver disease
RFX6,liver disease
RFXANK,liver disease
RFXAP,liver disease
RHAG,liver disease
RHBDF2,liver disease
RHCE,liver disease
RHD,liver disease
RILPL2,Parkinson's disease
RINT1,liver disease
RIPK1,liver disease
RIT1,liver disease; Parkinson's disease
RIT2,Parkinson's disease
RMND1,liver disease
RNASEH2A,liver disease
RNASEH2B,liver disease
RNASEH2C,liver disease
RNF141,Parkinson's disease
RNF213,cerebrovascular disease
RNF220,liver disease
RNF43,liver disease
RORC,liver disease
RPGRIP1,liver disease
RPGRIP1L,liver cancer; liver disease
RPL10,Parkinson's disease
RPS20,liver disease; liver cancer
RPS6KL1,Parkinson's disease
RRAGC,liver disease
RRAS,liver disease
RRAS2,liver disease
RREB1,liver disease
RRM1,liver disease
RRM2B,liver disease
RTEL1,liver disease
RTL1,liver disease; liver cancer
RUNX1,liver disease
RYR1,liver disease
S100B,cerebrovascular disease
SAA1,liver disease
SAMHD1,liver disease
SAR1B,liver disease
SASH3,liver disease
SBDS,liver disease
SC5D,liver disease
SCAPER,liver disease
SCARB1,liver disease
SCARB2,liver disease; Parkinson's disease
SCD,liver disease
SCLT1,liver disease
SCN2A,Parkinson's disease
SCN4A,liver disease
SCNN1A,liver disease
SCNN1B,liver disease
SCNN1G,liver disease
SCO1,liver disease
SCO2,liver disease
SCYL1,liver disease
SDCCAG8,liver disease
SDHA,liver disease
SDHB,liver disease
SDHC,liver disease
SDHD,liver disease
SEC23B,liver disease
SEC24C,liver disease
SEC63,liver disease
SELE,cerebrovascular disease
SELP,cerebrovascular disease
SEMA4A,liver disease; liver cancer; Parkinson's disease
SEMA4D,liver disease; liver cancer
SEMA7A,liver disease
SERPINA1,liver cancer; liver disease
SERPINC1,liver disease
SERPINE1,cerebrovascular disease
SETBP1,liver cancer; liver disease
SETD1A,Parkinson's disease
SETD2,liver disease
SF3B1,liver disease
SFTPA2,liver disease
SFTPC,liver disease
SGSH,liver disease
SH2B1,liver disease
SH2B3,liver disease
SH2D1A,liver disease
SH3GL2,Parkinson's disease
SHPK,liver disease
SIPA1L2,Parkinson's disease
SIRT1,liver disease; cerebrovascular disease
SKI,liver disease
SKIC2,liver disease; liver cancer
SKIC3,liver cancer; liver disease
SLC10A1,liver disease
SLC11A1,liver disease
SLC11A2,liver disease
SLC16A2,liver disease
SLC17A5,liver disease
SLC18A2,Parkinson's disease
SLC18B1,Parkinson's disease
SLC19A1,liver disease
SLC20A2,liver disease
SLC22A5,liver disease
SLC25A1,liver disease
SLC25A13,liver cancer; liver disease
SLC25A15,liver disease
SLC25A19,liver disease
SLC25A20,liver disease
SLC25A4,liver disease
SLC26A4,liver disease
SLC26A9,liver disease
SLC29A3,liver disease
SLC2A1,liver disease
SLC2A13,Parkinson's disease
SLC2A2,liver cancer; liver disease
SLC30A10,liver disease; Parkinson's disease
SLC34A2,liver disease
SLC35A2,liver disease
SLC35C1,liver disease
SLC37A4,liver disease; liver cancer
SLC38A3,liver disease
SLC39A14,Parkinson's disease
SLC39A4,liver disease
SLC39A7,liver disease
SLC39A8,liver disease
SLC40A1,liver disease
SLC41A1,Parkinson's disease
SLC44A1,liver disease
SLC44A4,Parkinson's disease
SLC4A1,liver disease
SLC50A1,Parkinson's disease
SLC51A,liver disease
SLC51B,liver disease
SLC5A2,cerebrovascular disease
SLC5A5,liver disease
SLC6A14,liver disease
SLC6A3,Parkinson's disease
SLC7A7,liver disease
SLC9A3,liver disease
SLCO1B1,liver disease
SLCO1B3,liver disease
SLCO2A1,liver disease
SLX4,liver disease
SMAD4,liver cancer; liver disease
SMARCA4,liver disease; liver cancer
SMARCB1,liver disease; liver cancer
SMARCC2,liver disease; liver cancer
SMARCD1,liver cancer; liver disease
SMARCE1,liver cancer; liver disease
SMPD1,liver disease; liver cancer
SNAI1,liver cancer; liver disease
SNCA,Parkinson's disease
SNCAIP,Parkinson's disease
SNX10,liver disease
SNX14,liver disease
SOCS1,liver disease
SOD1,Parkinson's disease
SON,liver disease
SOS1,liver disease
SOS2,liver disease
SOX10,liver disease
SOX11,liver cancer; liver disease
SOX4,liver cancer; liver disease
SP110,liver disease
SPEN,liver disease
SPI1,liver disease
SPIB,liver disease; liver cancer
SPIN4,liver disease
SPINK1,liver disease
SPOP,liver disease
SPPL2B,Parkinson's disease
SPPL2C,Parkinson's disease
SPRED2,liver disease
SPRTN,liver disease; liver cancer
SPTA1,liver disease
SPTB,liver disease
SPTBN1,liver disease
SPTSSB,Parkinson's disease
SRC,liver cancer; liver disease
SRD5A3,liver disease
SREBF1,liver disease
SRP54,liver disease
SRSF2,liver disease
STAB1,liver disease
STAT1,liver disease
STAT2,liver disease
STAT3,liver cancer; liver disease
STAT4,liver disease
STAT6,liver cancer; liver disease
STEAP3,liver disease
STIM1,liver disease
STK11,liver disease
STN1,liver disease
STOX1,liver disease
STX11,liver disease
STX1A,liver disease
STX1B,Parkinson's disease
STX5,liver disease
STXBP2,liver disease
SUCLG1,liver disease
SUMF1,liver disease
SUPT16H,liver disease
SURF1,liver disease
SV2C,Parkinson's disease
SYK,liver disease
SYNJ1,Parkinson's disease
SYT17,Parkinson's disease
TAF1,Parkinson's disease
TALDO1,liver disease
TANGO2,liver disease
TARDBP,Parkinson's disease
TARS2,liver disease
TBC1D5,Parkinson's disease
TBL2,liver disease
TBX1,liver disease
TBX19,liver disease
TCF3,liver disease
TCF4,liver cancer; liver disease
TCIRG1,liver disease
TCN2,liver disease
TCTN1,liver disease
TCTN2,liver disease
TCTN3,liver disease
TERT,liver disease
TET2,liver disease
TF,liver disease
TFAM,liver disease
TFE3,liver disease
TFR2,liver disease
TG,liver disease
TGFB1,liver cancer; cerebrovascular disease; liver disease
TGFBR2,liver cancer; liver disease
TH,Parkinson's disease
TIMMDC1,liver disease
TINF2,liver disease
TJP2,liver disease; liver cancer
TKFC,liver disease
TKT,liver disease
TLR4,liver disease; cerebrovascular disease
TLR8,liver disease
TM6SF2,liver disease
TMEM107,liver disease
TMEM126B,liver disease
TMEM163,Parkinson's disease
TMEM165,liver disease
TMEM175,Parkinson's disease
TMEM216,liver disease
TMEM229B,Parkinson's disease
TMEM230,Parkinson's disease
TMEM231,liver disease
TMEM237,liver disease
TMEM270,liver disease
TMEM67,liver cancer; liver disease
TMEM70,liver disease
TMPRSS6,liver disease
TNF,Parkinson's disease; liver cancer; liver disease; cerebrovascular disease
TNFRSF11A,liver disease
TNFRSF13B,liver disease
TNFRSF13C,liver disease
TNFRSF1A,liver disease
TNFRSF1B,liver disease
TNFSF11,liver disease
TNFSF12,liver disease
TNFSF15,liver cancer; liver disease
TNNI3,liver disease
TNNT2,liver disease
TNPO3,liver disease; liver cancer
TOGARAM1,liver disease
TOM1,liver disease
TOMM7,liver disease
TP53,liver disease; liver cancer
TPI1,liver disease
TPO,liver disease
TPP2,liver disease
TRAF3IP1,liver disease
TRAF3IP2,liver disease
TRAPPC11,liver disease
TREX1,liver disease
TRHR,liver disease
TRIB1,liver disease
TRIM28,liver cancer; liver disease
TRIM32,liver disease
TRIM37,liver disease
TRIM40,Parkinson's disease
TRIM46,Parkinson's disease
TRIP13,liver cancer; liver disease
TRMT10C,liver disease
TRMT5,liver disease
TRMU,liver disease
TRPM7,Parkinson's disease
TRPV6,liver disease
TSC1,liver disease
TSC2,liver disease
TSFM,liver disease
TSHB,liver disease
TSHR,liver disease
TTC21B,liver disease
TTC7A,liver disease
TTC8,liver disease
TTR,liver disease
TUFM,liver disease
TULP3,liver disease; liver cancer
TWNK,liver disease
TXNDC15,liver disease
TYMP,liver disease
TYMS,liver disease
UBAP2,Parkinson's disease
UBE2T,liver disease
UBE4B,liver disease
UBR1,liver disease
UBTF,Parkinson's disease
UCHL1,Parkinson's disease
UCP2,liver disease
UFD1,liver disease
UGT1A1,liver disease
UNC13D,liver disease
UNC45A,liver disease
UQCRB,liver disease
UQCRC1,Parkinson's disease
UQCRC2,liver disease
UQCRFS1,liver disease
UROD,liver cancer; liver disease
UROS,liver disease
USB1,liver disease
USP18,liver disease
USP50,Parkinson's disease
USP53,liver disease
USP8,Parkinson's disease
USP9X,liver disease
VAMP4,Parkinson's disease
VCAM1,cerebrovascular disease
VCP,liver disease
VHL,liver disease; liver cancer
VIPAS39,liver disease
VMA12,liver disease
VMA22,liver disease
VPS11,liver disease
VPS13A,liver disease
VPS13C,Parkinson's disease
VPS33A,liver disease
VPS33B,liver disease
VPS35,Parkinson's disease
VPS37D,liver disease
VPS45,liver disease
VPS4A,liver disease
VPS50,liver disease
VPS51,liver disease
VWF,cerebrovascular disease
WARS2,Parkinson's disease
WDHD1,Parkinson's disease
WDPCP,liver disease
WDR19,liver disease
WDR35,liver disease
WDR41,Parkinson's disease
WNT3,Parkinson's disease
WRAP53,liver disease
WRN,liver disease
WT1,liver cancer; liver disease
XIAP,liver disease
XK,liver disease
XPR1,liver disease
XRCC2,liver disease
XRCC4,liver disease
XYLT1,liver disease
YARS1,liver disease
YARS2,liver disease
YWHAE,Parkinson's disease
YWHAG,Parkinson's disease
YWHAQ,Parkinson's disease
YWHAZ,Parkinson's disease
ZAP70,liver disease
ZEB1,liver disease; liver cancer
ZFTA,liver cancer; liver disease
ZFYVE19,liver disease
ZIC3,liver disease
ZNF699,liver disease
ZNFX1,liver disease
ZPR1,liver disease
